countries,Base/location,Region,Latitude,Longitude,Weapon system,Remarks
Belgium,Kline Brogel AB,Limburg,50.612431,5.94096,B61-3/4,US bombs for delivery by Belgian F-16s of the 10th Fighter Wing. Weapons in custody of US 701st MUNSS
China,22 Base (Baoji area),Shaanxi,35.64249,108.472214,Various,Central warhead storage site
China,51 Base (Shenyang area),Liaoning and Shandong,41.097481,122.310669,DF-21/DF-31 SSMs,"Regional storage site for 806, 810, 816, and 828 Missile Brigades"
China,52 Base (Huangshan and Tunxi areas),"Anhui, Jiangxi, Zhejiang",30.600677,117.924896,DF-15/DF-21 SSMs,"Regional warhead storage site for 807, 811, 815, 817, 819, and 820 Missile Brigades"
China,53 Base (Kunming and Liuzhou areas),"Yunnan, Guangxi",25.181129,101.864143,DF-21 SSMs,"Regional warhead storage site for 802, 808, and 821 Missile Brigades"
China,54 Base (Luoyang area),Henan,33.875408,113.484016,"DF-4, DF-5A/B, DF-26, DF-31A SSMs","Regional warhead storage site for 801, 804, 813, and 827 Missile Brigades"
China,55 Base (Huaihua area),Hunan,33.875408,113.484016,"DF-4, DF-5A/B, DF-31A SSMs","Regional warhead storage site for 803, 805, and 814 Missile Brigades"
China,56 Base (Xining area),Gansu and Qinghai,35.751835,104.28611,DF-21 and DF-31A SSMs,"Regional storage site for 809, 812, and 823 Missile Brigades"
China,Jianggezhuang NSB area,Shandong,35.893955,117.924896,JL-2 SLBMs,Possible warhead storage site for JL-2 SLBMs and Jin SSBNsb
China,Mianyang,Sichuan,30.263803,102.805473,Various,Warhead design. CAEP
China,Pingtung area,Sichuan,30.263803,102.805473,Various,Nuclear weapons fabrication. Possible underground storage site deep in the mountains near Mianyang (Institute of Materials)
China,Longpo (Yulin) NSB area,Hainan,19.566395,109.949684,JL-2 SLBMs,Possible warhead storage site for JL-2 SLBMs on Jin SSBNs
China,Zitong area,Sichuan,30.263803,102.805473,Various,"Warhead assembly, disassembly, and dismantlement. Possibly China’s “Pantex Plant”c"
France,Avord AB,Centre,34.158852,-85.667267,"TNA, ASMPA ALCM",Storage and maintenance site for ASMPA
France,"Centre d’Etudes de Valduc (Lery, north of Dijon)",Bourgogne,47.278111,4.99421,"TN75, TNA, TNO","Warhead assembly, disassembly, and dismantlement"
France,Ile Longue NSB,Bretagne,47.002789,1.68221,"TN75, TNO (replacing TN75), M51 SLBMs",For 4 Triomphant-class SSBNs
France,Istres AB,Provence,46.892181,6.7294,"TNA, ASMPA ALCM",For Mirage-2000N fighter-bombers. To be replaced with Rafale K3
France,Saint-Dizier AB,Champagne-Ardenne,49.49545,4.36047,"TNA, ASMPA ALCM",For Rafale K3 fighter-bombers. Might also store weapons for Rafale MK3 on Charles de Gaulle aircraft carrier based in Toulon NB
