Id,Entity,Code,Year,count
1,China,CHN,1945,0
2,China,CHN,1946,0
3,China,CHN,1947,0
4,China,CHN,1948,0
5,China,CHN,1949,0
6,China,CHN,1950,0
7,China,CHN,1951,0
8,China,CHN,1952,0
9,China,CHN,1953,0
10,China,CHN,1954,0
11,China,CHN,1955,0
12,China,CHN,1956,0
13,China,CHN,1957,0
14,China,CHN,1958,0
15,China,CHN,1959,0
16,China,CHN,1960,0
17,China,CHN,1961,0
18,China,CHN,1962,0
19,China,CHN,1963,0
20,China,CHN,1964,1
21,China,CHN,1965,5
22,China,CHN,1966,20
23,China,CHN,1967,25
24,China,CHN,1968,35
25,China,CHN,1969,50
26,China,CHN,1970,75
27,China,CHN,1971,100
28,China,CHN,1972,130
29,China,CHN,1973,150
30,China,CHN,1974,170
31,China,CHN,1975,180
32,China,CHN,1976,180
33,China,CHN,1977,180
34,China,CHN,1978,190
35,China,CHN,1979,195
36,China,CHN,1980,205
37,China,CHN,1981,210
38,China,CHN,1982,216
39,China,CHN,1983,218
40,China,CHN,1984,220
41,China,CHN,1985,222
42,China,CHN,1986,224
43,China,CHN,1987,226
44,China,CHN,1988,228
45,China,CHN,1989,230
46,China,CHN,1990,232
47,China,CHN,1991,234
48,China,CHN,1992,234
49,China,CHN,1993,234
50,China,CHN,1994,234
51,China,CHN,1995,234
52,China,CHN,1996,234
53,China,CHN,1997,232
54,China,CHN,1998,232
55,China,CHN,1999,232
56,China,CHN,2000,232
57,China,CHN,2001,235
58,China,CHN,2002,235
59,China,CHN,2003,235
60,China,CHN,2004,235
61,China,CHN,2005,235
62,China,CHN,2006,235
63,China,CHN,2007,235
64,China,CHN,2008,235
65,China,CHN,2009,240
66,China,CHN,2010,240
67,China,CHN,2011,240
68,China,CHN,2012,240
69,China,CHN,2013,250
70,China,CHN,2014,250
71,France,FRA,1945,0
72,France,FRA,1946,0
73,France,FRA,1947,0
74,France,FRA,1948,0
75,France,FRA,1949,0
76,France,FRA,1950,0
77,France,FRA,1951,0
78,France,FRA,1952,0
79,France,FRA,1953,0
80,France,FRA,1954,0
81,France,FRA,1955,0
82,France,FRA,1956,0
83,France,FRA,1957,0
84,France,FRA,1958,0
85,France,FRA,1959,0
86,France,FRA,1960,0
87,France,FRA,1961,0
88,France,FRA,1962,0
89,France,FRA,1963,0
90,France,FRA,1964,4
91,France,FRA,1965,32
92,France,FRA,1966,36
93,France,FRA,1967,36
94,France,FRA,1968,36
95,France,FRA,1969,36
96,France,FRA,1970,36
97,France,FRA,1971,45
98,France,FRA,1972,70
99,France,FRA,1973,116
100,France,FRA,1974,145
101,France,FRA,1975,188
102,France,FRA,1976,212
103,France,FRA,1977,228
104,France,FRA,1978,235
105,France,FRA,1979,235
